package,module,path,capabilities,classes,functions,cli,database,imports
core/knowledge_catalog,core.knowledge_catalog.__init__,core/knowledge_catalog/__init__.py,catalog,,,,,
core/knowledge_catalog,core.knowledge_catalog.backfill,core/knowledge_catalog/backfill.py,"catalog, classification, extraction, storage",,main,yes,yes,"__future__, core.knowledge_catalog.classifiers.subject_assignment, core.knowledge_catalog.config, core.knowledge_catalog.database, datetime, pathlib"
core/knowledge_catalog,core.knowledge_catalog.classifiers.__init__,core/knowledge_catalog/classifiers/__init__.py,"catalog, classification",,,,,
core/knowledge_catalog,core.knowledge_catalog.classifiers.keyword_classifier,core/knowledge_catalog/classifiers/keyword_classifier.py,"catalog, classification, extraction, graph",,"load_keyword_rules, classify_text",,,"__future__, pathlib, yaml"
core/knowledge_catalog,core.knowledge_catalog.classifiers.subject_assignment,core/knowledge_catalog/classifiers/subject_assignment.py,"catalog, classification, extraction",,assign_subject,,,"__future__, core.knowledge_catalog.classifiers.keyword_classifier, core.knowledge_mapper.mapper, pathlib"
core/knowledge_catalog,core.knowledge_catalog.cli,core/knowledge_catalog/cli.py,"acquisition, catalog, classification, collections, search, storage",,"cmd_init, cmd_stats, cmd_topics, cmd_sources, cmd_collections_build, cmd_collections_list, cmd_semantic_backfill, cmd_search, cmd_register_file, cmd_register_tree, main",yes,yes,"__future__, argparse, core.knowledge_catalog.backfill, core.knowledge_catalog.collections, core.knowledge_catalog.config, core.knowledge_catalog.database, core.knowledge_catalog.registrar, core.knowledge_catalog.repository, core.knowledge_catalog.search, core.knowledge_catalog.service, pathlib"
core/knowledge_catalog,core.knowledge_catalog.collections,core/knowledge_catalog/collections.py,"catalog, classification, collections, extraction, graph, normalization, storage",CollectionCandidate,"utc_now, humanize, classify_folder, count_assets, discover_collections, upsert_collections, print_collections",,yes,"__future__, collections, core.knowledge_catalog.config, core.knowledge_catalog.database, dataclasses, datetime, pathlib, sqlite3"
core/knowledge_catalog,core.knowledge_catalog.config,core/knowledge_catalog/config.py,"acquisition, catalog, normalization, storage",,,,,pathlib
core/knowledge_catalog,core.knowledge_catalog.database,core/knowledge_catalog/database.py,"catalog, classification, collections, extraction, inspection, storage",,"connect, migrate",,yes,"__future__, core.knowledge_catalog.config, core.knowledge_catalog.schema, pathlib, sqlite3"
core/knowledge_catalog,core.knowledge_catalog.digest,core/knowledge_catalog/digest.py,"catalog, chunking, classification, extraction, graph, normalization",,"sha256_file, load_keyword_rules, normalize_text, digest_path",,,"__future__, core.knowledge_catalog.classifiers.subject_assignment, hashlib, pathlib, yaml"
core/knowledge_catalog,core.knowledge_catalog.models,core/knowledge_catalog/models.py,"acquisition, catalog, inspection","Source, Topic, Document, FileAsset",utc_now,,,"__future__, dataclasses, datetime, pathlib"
core/knowledge_catalog,core.knowledge_catalog.paths,core/knowledge_catalog/paths.py,"catalog, storage",,,,,pathlib
core/knowledge_catalog,core.knowledge_catalog.registrar,core/knowledge_catalog/registrar.py,"acquisition, catalog, classification, collections, extraction, inspection, storage",,"utc_now, infer_collection_id, register_file, register_tree",,yes,"__future__, core.knowledge_catalog.config, core.knowledge_catalog.database, core.semantic_digest.pipeline, datetime, pathlib"
core/knowledge_catalog,core.knowledge_catalog.repository,core/knowledge_catalog/repository.py,"acquisition, catalog, inspection, storage",CatalogRepository,"upsert_source, upsert_topic, create_document, add_file_asset, link_document_topic, stats",,yes,"__future__, core.knowledge_catalog.models, sqlite3"
core/knowledge_catalog,core.knowledge_catalog.schema,core/knowledge_catalog/schema.py,"acquisition, catalog, classification, collections, embedding, extraction, inspection",,,,yes,
core/knowledge_catalog,core.knowledge_catalog.search,core/knowledge_catalog/search.py,"catalog, classification, search, storage",,search_catalog,,yes,"__future__, core.knowledge_catalog.config, core.knowledge_catalog.database, pathlib, sqlite3"
core/knowledge_catalog,core.knowledge_catalog.seed,core/knowledge_catalog/seed.py,"acquisition, catalog, embedding, extraction, graph, storage",,seed_catalog,,,"__future__, core.knowledge_catalog.models, core.knowledge_catalog.repository"
core/knowledge_catalog,core.knowledge_catalog.service,core/knowledge_catalog/service.py,"acquisition, catalog, inspection, storage",,"initialize_catalog, register_file",,yes,"__future__, core.knowledge_catalog.database, core.knowledge_catalog.models, core.knowledge_catalog.repository, core.knowledge_catalog.seed, pathlib"
core/knowledge_graph,core.knowledge_graph.__init__,core/knowledge_graph/__init__.py,graph,,,,,
core/knowledge_graph,core.knowledge_graph.catalog_mapper,core/knowledge_graph/catalog_mapper.py,"catalog, classification, graph",,,,,
core/knowledge_graph,core.knowledge_graph.cli,core/knowledge_graph/cli.py,"classification, extraction, graph",,"cmd_summary, cmd_gaps, main",yes,,"__future__, argparse, core.knowledge_graph.gap_analysis, core.knowledge_graph.ontology"
core/knowledge_graph,core.knowledge_graph.coverage,core/knowledge_graph/coverage.py,graph,,,,,
core/knowledge_graph,core.knowledge_graph.gap_analysis,core/knowledge_graph/gap_analysis.py,"catalog, classification, extraction, graph, storage",SubjectCoverage,"status_from_count, iter_subjects, load_subject_counts, analyze_gaps, summarize, write_reports",,yes,"__future__, core.knowledge_catalog.paths, core.knowledge_graph.ontology, dataclasses, json, pathlib, sqlite3"
core/knowledge_graph,core.knowledge_graph.graph,core/knowledge_graph/graph.py,graph,,,,,
core/knowledge_graph,core.knowledge_graph.models,core/knowledge_graph/models.py,graph,,,,,
core/knowledge_graph,core.knowledge_graph.ontology,core/knowledge_graph/ontology.py,"classification, graph",KnowledgeOntology,load_ontology,,,"dataclasses, pathlib, yaml"
core/knowledge_mapper,core.knowledge_mapper.__init__,core/knowledge_mapper/__init__.py,classification,,,,,
core/knowledge_mapper,core.knowledge_mapper.cli,core/knowledge_mapper/cli.py,classification,,,yes,,"argparse, core.knowledge_mapper.mapper, core.knowledge_mapper.report, pathlib"
core/knowledge_mapper,core.knowledge_mapper.indexer,core/knowledge_mapper/indexer.py,"classification, collections, extraction",,build_subject_index,,,"collections, core.knowledge_mapper.mapper, pathlib"
core/knowledge_mapper,core.knowledge_mapper.mapper,core/knowledge_mapper/mapper.py,classification,,map_path,,,"core.knowledge_mapper.rules, pathlib"
core/knowledge_mapper,core.knowledge_mapper.models,core/knowledge_mapper/models.py,classification,,,,,
core/knowledge_mapper,core.knowledge_mapper.report,core/knowledge_mapper/report.py,classification,,print_summary,,,"core.knowledge_mapper.indexer, pathlib"
core/knowledge_mapper,core.knowledge_mapper.rules,core/knowledge_mapper/rules.py,classification,,load_rules,,,"pathlib, yaml"
core/semantic_digest,core.semantic_digest.__init__,core/semantic_digest/__init__.py,classification,,,,,
core/semantic_digest,core.semantic_digest.analyzer,core/semantic_digest/analyzer.py,"classification, extraction, graph, normalization",,"load_rules, normalize, analyze_semantics",,,"__future__, core.semantic_digest.structural, pathlib, re, yaml"
core/semantic_digest,core.semantic_digest.cli,core/semantic_digest/cli.py,"catalog, classification, inspection",,"cmd_inspect, cmd_digest, main",yes,,"__future__, argparse, core.semantic_digest.inspector, core.semantic_digest.pipeline, pathlib"
core/semantic_digest,core.semantic_digest.inspector,core/semantic_digest/inspector.py,"catalog, classification, extraction, inspection",DocumentInspection,inspect_document,,,"__future__, dataclasses, pathlib"
core/semantic_digest,core.semantic_digest.pipeline,core/semantic_digest/pipeline.py,"catalog, classification, extraction, inspection",,process_document,,,"__future__, core.knowledge_catalog.digest, core.semantic_digest.analyzer, core.semantic_digest.inspector, core.semantic_digest.readers, pathlib"
core/semantic_digest,core.semantic_digest.readers,core/semantic_digest/readers.py,"catalog, chunking, classification, extraction, inspection",,"read_text_file, read_pdf, read_document",,,"__future__, contextlib, core.semantic_digest.inspector, io, pathlib, pypdf"
core/semantic_digest,core.semantic_digest.structural,core/semantic_digest/structural.py,"classification, collections, extraction",,"clean_line, extract_headings, extract_terms, extract_structure",,,"__future__, collections, pathlib, re"
knowledge_engine,knowledge_engine.__init__,knowledge_engine/__init__.py,search,,,,,
knowledge_engine,knowledge_engine.catalog.__init__,knowledge_engine/catalog/__init__.py,catalog,,,,,
knowledge_engine,knowledge_engine.catalog,knowledge_engine/catalog.py,"acquisition, catalog, extraction, inspection, normalization, storage",KnowledgeCatalog,"connect, initialize, upsert_document, upsert_inspection, summary, duplicate_groups, replace_structure, structure_summary",,yes,"knowledge_engine.document, pathlib, sqlite3"
knowledge_engine,knowledge_engine.chunking.__init__,knowledge_engine/chunking/__init__.py,chunking,,,,,
knowledge_engine,knowledge_engine.chunking.chunker,knowledge_engine/chunking/chunker.py,chunking,,,,,
knowledge_engine,knowledge_engine.cli,knowledge_engine/cli.py,"acquisition, catalog, extraction, inspection, storage",,"section, main",yes,,"argparse, knowledge_engine.pipeline, pathlib"
knowledge_engine,knowledge_engine.collections.__init__,knowledge_engine/collections/__init__.py,collections,,,,,
knowledge_engine,knowledge_engine.collections.models,knowledge_engine/collections/models.py,collections,,,,,
knowledge_engine,knowledge_engine.collections.store,knowledge_engine/collections/store.py,"collections, storage",,,,,
knowledge_engine,knowledge_engine.concepts.__init__,knowledge_engine/concepts/__init__.py,classification,,,,,
knowledge_engine,knowledge_engine.constants,knowledge_engine/constants.py,,,,,,
knowledge_engine,knowledge_engine.discovery.__init__,knowledge_engine/discovery/__init__.py,,,,,,
knowledge_engine,knowledge_engine.discovery.scanner,knowledge_engine/discovery/scanner.py,,,discover_files,,,"pathlib, typing"
knowledge_engine,knowledge_engine.document,knowledge_engine/document.py,catalog,DocumentRecord,relative_path,,,"dataclasses, pathlib, typing"
knowledge_engine,knowledge_engine.embeddings.__init__,knowledge_engine/embeddings/__init__.py,embedding,,,,,
knowledge_engine,knowledge_engine.embeddings.engine,knowledge_engine/embeddings/engine.py,embedding,,,,,
knowledge_engine,knowledge_engine.extraction.__init__,knowledge_engine/extraction/__init__.py,extraction,,,,,
knowledge_engine,knowledge_engine.extraction.extractors.__init__,knowledge_engine/extraction/extractors/__init__.py,extraction,,,,,
knowledge_engine,knowledge_engine.extraction.extractors.base,knowledge_engine/extraction/extractors/base.py,extraction,BaseExtractor,"supports, extract",,,abc
knowledge_engine,knowledge_engine.extraction.extractors.pdf,knowledge_engine/extraction/extractors/pdf.py,"catalog, extraction",PDFExtractor,"supports, extract",,,"fitz, knowledge_engine.extraction.extractors.base"
knowledge_engine,knowledge_engine.index.__init__,knowledge_engine/index/__init__.py,"search, storage",,,,,"knowledge_engine.index.builder, knowledge_engine.index.search, knowledge_engine.index.statistics, knowledge_engine.index.store"
knowledge_engine,knowledge_engine.index.builder,knowledge_engine/index/builder.py,"catalog, classification, inspection, normalization, storage",KnowledgeIndexBuilder,build,,yes,"json, knowledge_engine.index.models"
knowledge_engine,knowledge_engine.index.models,knowledge_engine/index/models.py,"catalog, classification",IndexRecord,,,,dataclasses
knowledge_engine,knowledge_engine.index.search,knowledge_engine/index/search.py,"catalog, classification, search, storage",KnowledgeIndexSearch,search,,yes,
knowledge_engine,knowledge_engine.index.statistics,knowledge_engine/index/statistics.py,storage,KnowledgeIndexStatistics,top_categories,,yes,
knowledge_engine,knowledge_engine.index.store,knowledge_engine/index/store.py,"catalog, classification, storage",KnowledgeIndexStore,"upsert, summary",,yes,knowledge_engine.index.models
knowledge_engine,knowledge_engine.inspection.__init__,knowledge_engine/inspection/__init__.py,inspection,,,,,
knowledge_engine,knowledge_engine.inspectors.__init__,knowledge_engine/inspectors/__init__.py,inspection,,,,,registry
knowledge_engine,knowledge_engine.inspectors.base,knowledge_engine/inspectors/base.py,"catalog, extraction, inspection, normalization",BaseInspector,"inspect, extract_text",,,"__future__, abc, pathlib"
knowledge_engine,knowledge_engine.inspectors.docx,knowledge_engine/inspectors/docx.py,"catalog, extraction, graph, inspection",DocxInspector,inspect,,,"base, docx, pathlib"
knowledge_engine,knowledge_engine.inspectors.epub,knowledge_engine/inspectors/epub.py,"extraction, inspection, normalization",EpubInspector,inspect,,,"base, ebooklib"
knowledge_engine,knowledge_engine.inspectors.html,knowledge_engine/inspectors/html.py,"extraction, inspection",HtmlInspector,inspect,,,"base, bs4, pathlib"
